protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon
unknown,192.168.137.113,61000,223.99.245.181,443,6,0.727,699,659,11,0.0064,0.6655,7.5281
unknown,192.168.137.113,38265,120.221.8.142,443,6,0.778,723,683,9,0.0027,0.8549,7.6571
unknown,192.168.137.113,41023,221.179.183.213,443,6,1.000,229,177,5,0.0015,0.9752,7.3776
unknown,192.168.137.113,58467,117.185.16.107,443,6,0.867,381,341,15,0.0313,0.7813,7.4085
unknown,192.168.137.113,38586,60.217.248.28,443,6,0.414,949,909,29,0.0248,0.971,7.9729
unknown,192.168.137.113,56107,223.99.245.172,443,6,0.778,631,591,9,0.0085,0.8255,7.5667
unknown,192.168.137.113,41575,223.99.245.172,443,6,1.000,264,224,7,0.0105,0.9071,7.3456
unknown,192.168.137.113,38652,120.221.12.7,443,6,1.000,71,31,6,0.5393,0.2043,4.1155
unknown,192.168.137.113,60430,218.206.90.28,443,6,1.000,528,476,5,0.0012,0.953,7.6412
unknown,192.168.137.113,47881,221.179.183.213,443,6,1.000,225,173,6,0.0007,0.8357,7.3926
unknown,192.168.137.113,53071,120.221.8.142,443,6,1.000,71,31,6,0.4865,0.2097,4.1155
unknown,192.168.137.113,33512,218.206.90.28,443,6,1.000,537,485,5,0.0005,0.9563,7.6608
unknown,192.168.137.113,56986,221.179.183.218,443,6,0.750,597,545,8,0.0021,0.8131,7.5147
unknown,192.168.137.113,43221,223.99.245.161,443,6,0.636,782,742,11,0.0046,0.9061,7.8295
unknown,192.168.137.113,52429,218.206.90.28,443,6,1.000,529,477,5,0.0005,0.9526,7.6454
unknown,192.168.137.113,40585,120.221.12.30,443,6,0.302,1208,1168,63,0.0363,0.9899,7.9947
unknown,192.168.137.113,44089,112.34.111.173,443,6,0.867,383,343,15,0.0349,0.7817,7.4088
unknown,192.168.137.113,40897,120.221.8.142,443,6,0.778,684,644,9,0.0039,0.8632,7.6813
unknown,192.168.137.113,54460,223.99.245.161,443,6,0.625,826,786,16,0.0171,0.9364,7.913
unknown,192.168.137.113,45105,120.221.12.7,443,6,0.778,594,554,9,0.0031,0.8388,7.5969
unknown,192.168.137.113,55207,221.179.183.218,443,6,1.000,229,177,5,0.0006,0.9752,7.392
unknown,192.168.137.113,54926,120.221.12.30,443,6,0.389,994,954,18,0.0153,0.9563,7.9481
unknown,192.168.137.113,40012,120.221.8.142,443,6,0.778,684,644,9,0.0036,0.8647,7.6897
unknown,192.168.137.113,48658,39.156.41.32,443,6,0.778,667,627,9,0.0045,0.8542,7.6581
unknown,192.168.137.113,57747,120.221.8.142,443,6,1.000,393,353,6,0.0088,0.9495,7.6038
unknown,192.168.137.113,50872,223.99.245.179,443,6,0.786,650,610,14,0.0108,0.9061,7.8318
unknown,192.168.137.113,36529,120.221.8.142,443,6,0.778,684,644,9,0.0047,0.8635,7.6829
unknown,192.168.137.113,47248,221.179.183.213,443,6,1.000,233,181,6,0.0063,0.8029,7.1999
unknown,192.168.137.113,38427,223.99.245.179,443,6,0.864,419,379,22,0.0226,0.861,7.745
unknown,192.168.137.113,40737,223.99.245.181,443,6,0.882,636,596,17,0.0296,0.9078,7.8312
