id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon
238,https,192.168.137.113,41409,222.222.88.102,443,6,0.895,324,284,19,0.1476,0.8171,7.6813
239,https,192.168.137.113,56948,112.34.112.78,443,6,0.833,510,470,12,0.0133,0.9633,7.8126
240,https,192.168.137.113,34837,111.6.172.48,443,6,0.750,615,575,8,0.0192,0.7634,7.3358
241,https,192.168.137.113,35477,120.221.8.142,443,6,0.778,684,644,9,0.0041,0.8635,7.6768
242,https,192.168.137.113,56708,119.75.222.189,443,6,1.000,71,31,1,0.0,1.0,4.0266
243,https,192.168.137.113,44494,60.217.248.28,443,6,0.538,828,788,26,0.0277,0.9013,7.9573
244,https,192.168.137.113,45581,221.179.183.218,443,6,1.000,205,153,6,0.0032,0.9728,7.4035
245,https,192.168.137.113,44268,111.13.101.221,443,6,0.471,998,958,244,4.0597,0.9978,7.9948
246,https,192.168.137.113,51098,120.221.12.30,443,6,0.316,1048,1008,19,0.0025,0.9621,7.9556
247,https,192.168.137.113,45481,221.179.183.213,443,6,1.000,205,153,6,0.0009,0.9706,7.3606
248,https,192.168.137.113,58766,111.13.57.45,443,6,0.329,1022,982,73,0.0144,0.9856,7.9917
249,https,192.168.137.113,34671,111.13.101.191,443,6,0.778,577,537,18,0.0072,0.9759,7.9027
250,https,192.168.137.113,56656,111.13.101.221,443,6,0.577,907,867,480,3.6271,0.9976,7.9949
251,https,192.168.137.113,59378,120.221.12.30,443,6,0.316,1196,1156,76,0.0143,0.9806,7.9956
252,https,192.168.137.113,60721,119.75.222.188,443,6,1.000,71,31,1,0.0,1.0,4.051
253,https,192.168.137.113,35413,112.34.111.114,443,6,0.889,352,312,9,0.0019,0.9263,7.5527
254,https,192.168.137.113,48984,222.35.78.40,443,6,0.011,1376,1336,3760,2.3593,1.0,7.9999
255,https,192.168.137.113,59516,111.13.100.3,443,6,1.000,71,31,1,0.0,1.0,4.051
256,https,192.168.137.113,58752,223.99.245.161,443,6,0.412,986,946,17,0.0151,0.9483,7.9315
257,https,192.168.137.113,56226,119.75.222.189,443,6,0.947,741,701,19,3.8366,0.2871,7.8482
258,https,192.168.137.113,52867,221.179.183.218,443,6,1.000,229,177,5,0.0005,0.9786,7.3962
259,https,192.168.137.113,50611,112.34.111.114,443,6,0.889,354,314,9,0.0034,0.929,7.5615
260,https,192.168.137.113,38842,111.13.101.221,443,6,0.867,608,568,15,0.0136,0.8749,7.7441
261,https,192.168.137.113,41449,223.99.245.161,443,6,0.421,988,948,19,0.0643,0.994,7.9783
262,https,192.168.137.113,40045,119.75.222.92,443,6,0.910,443,403,78,0.3951,0.9606,7.9503
263,https,192.168.137.113,56510,111.13.101.221,443,6,1.000,300,260,10,0.0013,0.9916,7.8018
264,https,192.168.137.113,48022,223.99.245.172,443,6,1.000,337,297,7,0.006,0.6882,7.4829
265,https,192.168.137.113,51111,111.13.101.221,443,6,0.909,383,343,11,0.0038,0.9958,7.8816
266,https,192.168.137.113,54715,61.135.169.125,443,6,0.722,657,617,36,0.355,0.9904,7.9654
267,https,192.168.137.113,39727,223.99.245.172,443,6,0.909,486,446,11,0.0188,0.9729,7.8547
268,https,192.168.137.113,52492,218.206.90.28,443,6,1.000,529,477,5,0.0011,0.9539,7.6645
269,https,192.168.137.113,39159,111.13.100.146,443,6,0.778,574,534,18,0.004,0.8893,7.7946
270,https,192.168.137.113,56703,119.75.222.188,443,6,0.941,282,242,17,1.4608,0.8861,7.6229
271,https,192.168.137.113,38841,111.13.101.221,443,6,0.846,526,486,13,0.0074,0.8299,7.5966
272,https,192.168.137.113,45273,112.34.111.114,443,6,0.889,428,388,9,0.0016,0.9394,7.6452
273,https,192.168.137.113,34573,183.232.231.65,443,6,0.824,508,468,17,0.0079,0.8644,7.7098
274,https,192.168.137.113,36038,120.221.8.140,443,6,0.778,639,599,9,0.0033,0.8482,7.6453
275,https,192.168.137.113,58889,111.6.172.48,443,6,0.750,615,575,8,0.0113,0.763,7.3317
276,https,192.168.137.113,38908,111.13.101.221,443,6,1.000,566,526,9,0.0866,0.9582,7.7732
277,https,192.168.137.113,53194,222.35.78.49,443,6,0.824,456,416,17,0.0154,0.8425,7.6535
278,https,192.168.137.113,52007,223.99.245.161,443,6,0.625,867,827,16,0.0069,0.8446,7.9148
279,https,192.168.137.113,34733,111.13.101.191,443,6,0.681,768,728,47,0.2802,0.9917,7.9762
280,https,192.168.137.113,59891,111.13.101.221,443,6,1.000,300,260,10,0.0013,0.9912,7.7962
281,https,192.168.137.113,38949,120.221.102.6,443,6,0.800,546,506,10,0.0987,0.8407,7.6034
282,https,192.168.137.113,49515,111.6.172.48,443,6,0.317,1047,1007,41,0.0582,0.9749,7.9827
283,https,192.168.137.113,40239,119.75.222.188,443,6,0.407,1014,974,27,0.2609,0.9911,7.975
284,https,192.168.137.113,41619,39.156.41.32,443,6,0.778,607,567,9,0.0036,0.838,7.6034
285,https,192.168.137.113,57062,112.34.112.78,443,6,1.000,164,124,6,0.0308,0.685,5.4489
286,https,192.168.137.113,61000,223.99.245.181,443,6,0.727,699,659,11,0.0054,0.6655,7.5281
287,https,192.168.137.113,54616,111.13.101.73,443,6,0.875,410,370,16,0.41,0.8118,7.5409
288,https,192.168.137.113,40712,222.35.78.48,443,6,0.443,1066,1026,79,0.2512,0.9841,7.9931
289,https,192.168.137.113,50687,119.75.222.189,443,6,1.000,805,765,19,1.0208,0.2562,7.847
290,https,192.168.137.113,53824,111.6.172.48,443,6,0.500,885,845,26,0.0053,0.9528,7.9538
291,https,192.168.137.113,57058,112.34.112.78,443,6,0.737,667,627,19,0.097,0.9807,7.9302
292,https,192.168.137.113,56107,223.99.245.172,443,6,0.778,631,591,9,0.0088,0.8255,7.5667
293,https,192.168.137.113,38652,120.221.12.7,443,6,1.000,71,31,6,0.5435,0.2043,4.1155
294,https,192.168.137.113,38953,111.13.101.221,443,6,0.867,494,454,15,0.0039,0.843,7.6506
295,https,192.168.137.113,44692,111.6.172.48,443,6,0.672,770,730,58,0.0795,0.9712,7.9791
296,https,192.168.137.113,55920,111.13.101.221,443,6,0.900,312,272,10,0.0032,0.9934,7.8283
297,https,192.168.137.113,43036,119.75.222.188,443,6,0.564,924,884,39,0.5267,0.9921,7.9769
298,https,192.168.137.113,46519,222.35.78.32,443,6,0.100,1280,1240,100,0.0507,0.9921,7.9969
299,https,192.168.137.113,52492,222.35.78.49,443,6,0.933,330,290,30,0.2269,0.8605,7.739
300,https,192.168.137.113,47023,223.99.245.179,443,6,0.864,635,595,22,0.0225,0.5929,7.8129
