id,protocol_name,src,sport,dst,dport,proto,push_flag_ratio,average_len,average_payload_len,pkt_count,flow_average_inter_arrival_time,kolmogorov,shannon,label
57,https,192.168.137.113,60746,61.135.169.121,443,6,0.818,527,487,11,0.0039,0.9727,7.8476,2
565,https,192.168.137.113,36705,180.76.22.48,443,6,0.792,529,489,24,0.0178,0.9063,7.8559,1
186,https,192.168.137.113,58889,111.6.172.48,443,6,0.75,615,575,8,0.0113,0.763,7.3317,2
243,https,192.168.137.113,37109,218.206.90.28,443,6,1.0,527,475,5,0.0006,0.9542,7.6705,1
48,https,192.168.137.113,58065,112.54.108.104,443,6,0.65,637,597,20,0.43,0.9336,7.9226,0
496,https,192.168.137.113,33388,218.206.90.28,443,6,1.0,526,474,5,0.0011,0.9541,7.6585,1
633,https,192.168.137.113,47248,221.179.183.213,443,6,1.0,233,181,6,0.0061,0.8029,7.1999,1
342,https,192.168.137.113,59891,111.13.101.221,443,6,1.0,300,260,10,0.0013,0.9912,7.7962,1
25,https,192.168.137.113,42587,111.13.101.221,443,6,0.9,312,272,10,0.0023,0.9941,7.831,1
517,https,192.168.137.113,41575,223.99.245.172,443,6,1.0,264,224,7,0.0105,0.9071,7.3456,1
371,https,192.168.137.113,37308,180.76.22.48,443,6,0.75,616,576,8,0.0061,0.7643,7.3333,0
400,https,192.168.137.113,33388,218.206.90.28,443,6,1.0,526,474,5,0.0011,0.9541,7.6585,0
192,https,192.168.137.113,36827,122.70.142.80,443,6,0.004,1396,1356,1984,0.2801,0.9999,7.9999,1
520,https,192.168.137.113,56655,59.111.181.35,443,6,0.424,988,936,33,0.0231,0.9963,7.9887,1
181,https,192.168.137.113,34509,183.232.231.65,443,6,1.0,325,285,8,0.0214,0.9169,7.4276,1
380,https,192.168.137.113,33892,218.206.90.28,443,6,1.0,527,475,5,0.0009,0.9533,7.6608,1
150,https,192.168.137.113,56929,112.34.112.78,443,6,0.68,694,654,25,0.0117,0.9352,7.9044,2
172,https,192.168.137.113,34677,111.13.101.191,443,6,0.762,597,557,21,0.0067,0.9789,7.9216,1
51,https,192.168.137.113,40012,120.221.8.142,443,6,0.778,684,644,9,0.0036,0.8647,7.6897,1
528,https,192.168.137.113,55081,111.13.101.221,443,6,1.0,300,260,10,0.0012,0.9919,7.7981,1
134,https,192.168.137.113,59579,119.75.222.188,443,6,0.767,610,570,43,1.0874,0.9792,7.9576,1
456,https,192.168.137.113,48761,223.99.245.161,443,6,0.647,836,796,17,0.0153,0.9433,7.9237,0
557,https,192.168.137.113,37160,112.34.111.114,443,6,0.8,478,438,15,0.0029,0.8342,7.5981,1
158,https,192.168.137.113,50915,112.34.111.114,443,6,1.0,164,124,6,0.0407,0.6984,5.5710000000000015,0
473,https,192.168.137.113,60600,223.252.199.67,443,6,1.0,83,31,1,0.0,1.0,4.1155,1
131,https,192.168.137.113,51353,180.76.76.112,443,6,0.857,516,476,14,0.1064,0.8653,7.7001,0
46,https,192.168.137.113,50985,112.34.111.114,443,6,1.0,164,124,6,0.994,0.7011,5.6492,2
401,https,192.168.137.113,33269,119.75.222.189,443,6,1.0,71,31,1,0.0,1.0,3.9865,0
308,https,192.168.137.113,54553,119.75.222.188,443,6,1.0,215,175,9,0.3663,0.8514,6.9364,2
77,https,192.168.137.113,47493,112.34.111.173,443,6,0.867,393,353,15,0.0344,0.7885,7.4359,0
41,https,192.168.137.113,38774,111.13.101.221,443,6,1.0,668,628,13,0.0834,0.9723,7.8783,1
146,https,192.168.137.113,43756,122.70.142.80,443,6,0.7,685,645,10,0.0023,0.8422,7.7167,1
53,https,192.168.137.113,40903,180.76.76.112,443,6,0.778,530,490,9,0.0087,0.8382,7.6055,1
431,https,192.168.137.113,51962,59.111.160.197,443,6,0.889,484,432,9,0.3607,0.9704,7.8319,1
203,https,192.168.137.113,46519,222.35.78.32,443,6,0.1,1280,1240,100,0.0507,0.9921,7.9969,2
293,https,192.168.137.113,41409,222.222.88.102,443,6,0.895,324,284,19,0.1476,0.8171,7.6813,1
492,https,192.168.137.113,41501,111.13.101.221,443,6,0.909,383,343,11,0.0029,0.9955,7.8898,0
216,https,192.168.137.113,51566,222.35.78.49,443,6,0.227,1176,1136,229,0.1825,0.9959,7.9986,2
229,https,192.168.137.113,40789,222.35.78.48,443,6,0.875,419,379,16,0.0523,0.8035,7.5508,2
223,https,192.168.137.113,57211,223.99.245.181,443,6,0.895,614,574,19,0.0329,0.8235,7.8677,1
603,https,192.168.137.113,50194,119.75.222.189,443,6,0.84,549,509,25,0.2696,0.9726,7.916,1
37,https,192.168.137.113,40639,222.35.78.48,443,6,0.508,992,952,65,0.2241,0.9823,7.9898,0
410,https,192.168.137.113,40049,119.75.222.189,443,6,0.913,752,712,23,0.1138,0.3388,7.8653,1
176,https,192.168.137.113,37284,221.179.183.218,443,6,1.0,205,153,6,0.0027,0.975,7.421,1
272,https,192.168.137.113,45273,112.34.111.114,443,6,0.889,428,388,9,0.0016,0.9394,7.6452,0
392,https,192.168.137.113,42697,119.75.222.92,443,6,1.0,154,114,9,0.0034,0.7724,6.2137,1
79,https,192.168.137.113,57063,112.34.112.78,443,6,1.0,164,124,6,0.0306,0.6863,5.4934,2
181,https,192.168.137.113,57211,223.99.245.181,443,6,0.895,614,574,19,0.0329,0.8235,7.8677,0
411,https,192.168.137.113,50980,112.34.111.114,443,6,0.833,559,519,18,0.3353,0.9753,7.9012,1
394,https,192.168.137.113,51990,180.76.22.32,443,6,0.909,407,367,22,0.0099,0.8597,7.7082,1
2,https,192.168.137.113,43760,122.70.142.80,443,6,0.024,1383,1343,496,0.0723,0.9987,7.9996,1
530,https,192.168.137.113,42859,111.30.137.24,443,6,0.8420000000000001,624,584,19,0.2465,0.9057,7.8479,0
89,https,192.168.137.113,34702,111.13.101.191,443,6,0.889,387,347,9,0.0248,0.9369,7.6288,1
333,https,192.168.137.113,50841,112.34.111.114,443,6,0.9,367,327,10,0.2215,0.9419,7.6478,2
268,https,192.168.137.113,52492,218.206.90.28,443,6,1.0,529,477,5,0.0011,0.9539,7.6645,0
77,https,192.168.137.113,36115,223.252.199.67,443,6,0.9,573,521,10,0.0015,0.9102,7.8610000000000015,1
187,https,192.168.137.113,45128,223.99.245.161,443,6,0.8,590,550,10,0.0955,0.8555,7.667999999999998,1
237,https,192.168.137.113,45283,119.75.222.189,443,6,1.0,814,774,21,0.1246,0.3333,7.8804,0
637,https,192.168.137.113,41095,60.217.248.28,443,6,0.231,1140,1100,39,0.025,0.9801,7.9846,1
620,https,192.168.137.113,36224,222.35.78.49,443,6,1.0,230,190,5,0.0036,0.8237,6.5313,1
348,https,192.168.137.113,40124,222.35.78.49,443,6,0.18600000000000005,1214,1174,145,1.8403,0.994,7.9979,2
512,https,192.168.137.113,37910,223.99.245.161,443,6,0.667,863,823,9,0.0011,0.8968,7.7965,1
110,https,192.168.137.113,43127,59.111.181.35,443,6,0.393,1046,994,56,0.0818,0.9982,7.9939,1
110,https,192.168.137.113,54735,61.135.169.125,443,6,0.812,489,449,16,0.0392,0.9701,7.8824,2
547,https,192.168.137.113,52047,59.111.181.35,443,6,0.8,569,517,10,0.0028,0.9787,7.8816,1
144,https,192.168.137.113,54783,61.135.169.125,443,6,0.733,747,707,30,0.1789,0.9498,7.9417,2
241,https,192.168.137.113,35477,120.221.8.142,443,6,0.778,684,644,9,0.0041,0.8635,7.6768,0
86,https,192.168.137.113,33595,111.6.172.48,443,6,0.75,659,619,8,0.0121,0.7552,7.3093,2
22,https,192.168.137.113,38774,111.13.101.221,443,6,1.0,668,628,13,0.0834,0.9723,7.8783,2
213,https,192.168.137.113,52588,222.35.78.49,443,6,0.778,533,493,18,0.0178,0.9758,7.9304,2
281,https,192.168.137.113,54106,111.13.101.73,443,6,0.895,393,353,19,0.6384,0.8304,7.6047,1
299,https,192.168.137.113,52492,222.35.78.49,443,6,0.933,330,290,30,0.2269,0.8605,7.739,0
109,https,192.168.137.113,44376,119.75.222.189,443,6,0.875,753,713,24,2.7927,0.5208,7.8969,2
